Version,Threads,N,Time_sec,MFLOPS
Basic,1,1024,0.000912,2299.5087719298244
Basic,1,1024,0.000893,2348.434490481523
Basic,1,2048,0.003568,2351.067264573991
Basic,1,4096,0.014492,2315.3762075627933
Basic,1,8192,0.058394,2298.4849128335104
Basic,1,16384,0.233045,2303.72207942672
Vectorized,1,1024,0.000472,4443.118644067797
Vectorized,1,1024,0.000209,10034.22009569378
Vectorized,1,2048,0.000929,9029.717976318623
Vectorized,1,4096,0.004856,6909.891268533773
Vectorized,1,8192,0.017102,7848.072038358087
Vectorized,1,16384,0.069312,7745.71375807941
BLAS,1,1024,0.00032,6553.599999999999
BLAS,1,1024,0.00016,13107.199999999999
BLAS,1,2048,0.000502,16710.37450199203
BLAS,1,4096,0.004073,8238.25975939111
BLAS,1,8192,0.018197,7375.8162334450735
BLAS,1,16384,0.070567,7607.9599812943725
OpenMP,1,1024,0.0009,2330.168888888889
OpenMP,1,1024,0.000898,2335.358574610245
OpenMP,1,2048,0.003557,2358.33792521788
OpenMP,1,4096,0.014547,2306.6221213996014
OpenMP,1,8192,0.058464,2295.732895457033
OpenMP,1,16384,0.233098,2303.198277119495
OpenMP,1,1024,0.000902,2325.0022172948998
OpenMP,1,1024,0.000875,2396.745142857143
OpenMP,1,2048,0.003561,2355.688851446223
OpenMP,1,4096,0.014499,2314.2583626457
OpenMP,1,8192,0.0582,2306.146529209622
OpenMP,1,16384,0.233055,2303.623230567892
OpenMP,1,1024,0.000898,2335.358574610245
OpenMP,1,1024,0.000898,2335.358574610245
OpenMP,1,2048,0.003572,2348.434490481523
OpenMP,1,4096,0.014571,2302.8228673392355
OpenMP,1,8192,0.058457,2296.0078006055733
OpenMP,1,16384,0.23312,2302.9809196980095
OpenMP,1,1024,0.0009,2330.168888888889
OpenMP,1,1024,0.000896,2340.571428571429
OpenMP,1,2048,0.003558,2357.6750983698707
OpenMP,1,4096,0.014545,2306.9392918528706
OpenMP,1,8192,0.058628,2289.311045916627
OpenMP,1,16384,0.233159,2302.5957050767934
OpenMP,4,1024,0.00086,2438.5488372093023
OpenMP,4,1024,0.000478,4387.347280334729
OpenMP,4,2048,0.001622,5171.768187422935
OpenMP,4,4096,0.004177,8033.141489107014
OpenMP,4,8192,0.015268,8790.786481529996
OpenMP,4,16384,0.059193,9069.837852448769
OpenMP,4,1024,0.000858,2444.2331002331
OpenMP,4,1024,0.000478,4387.347280334729
OpenMP,4,2048,0.001467,5718.205862304022
OpenMP,4,4096,0.004263,7871.084212995543
OpenMP,4,8192,0.015203,8828.371242517926
OpenMP,4,16384,0.059327,9049.352099381395
OpenMP,4,1024,0.000885,2369.6632768361583
OpenMP,4,1024,0.00048,4369.066666666667
OpenMP,4,2048,0.001233,6803.412814274129
OpenMP,4,4096,0.004384,7653.839416058395
OpenMP,4,8192,0.015266,8791.938163238568
OpenMP,4,16384,0.06034,8897.429764666887
OpenMP,4,1024,0.000886,2366.9887133182847
OpenMP,4,1024,0.000478,4387.347280334729
OpenMP,4,2048,0.001311,6398.633104500381
OpenMP,4,4096,0.004345,7722.539010356732
OpenMP,4,8192,0.015481,8669.835798721013
OpenMP,4,16384,0.061666,8706.108909285505
OpenMP,16,1024,0.001925,1089.4296103896104
OpenMP,16,1024,0.000521,4025.2437619961615
OpenMP,16,2048,0.001054,7958.831119544592
OpenMP,16,4096,0.002794,12009.460272011454
OpenMP,16,8192,0.011999,11185.742811900993
OpenMP,16,16384,0.047379,11331.410793811605
OpenMP,16,1024,0.00196,1069.9755102040817
OpenMP,16,1024,0.00023,9118.052173913044
OpenMP,16,2048,0.000925,9068.765405405406
OpenMP,16,4096,0.002896,11586.475138121546
OpenMP,16,8192,0.012022,11164.342705040759
OpenMP,16,16384,0.047475,11308.497356503422
OpenMP,16,1024,0.001937,1082.6804336602995
OpenMP,16,1024,0.000233,9000.652360515021
OpenMP,16,2048,0.000975,8603.700512820513
OpenMP,16,4096,0.002735,12268.530895795246
OpenMP,16,8192,0.01188,11297.788552188553
OpenMP,16,16384,0.047306,11348.896799560309
OpenMP,16,1024,0.001944,1078.7818930041153
OpenMP,16,1024,0.000576,3640.8888888888887
OpenMP,16,2048,0.001101,7619.080835603996
OpenMP,16,4096,0.00284,11814.940845070423
OpenMP,16,8192,0.012018,11168.05857879847
OpenMP,16,16384,0.047434,11318.27195682422
OpenMP,64,1024,0.008289,253.00422246350587
OpenMP,64,1024,0.000315,6657.625396825397
OpenMP,64,2048,0.000904,9279.433628318584
OpenMP,64,4096,0.00284,11814.940845070423
OpenMP,64,8192,0.012536,10706.583280153158
OpenMP,64,16384,0.049622,10819.211478779573
OpenMP,64,1024,0.007709,272.03943442729275
OpenMP,64,1024,0.000635,3302.601574803149
OpenMP,64,2048,0.001256,6678.828025477707
OpenMP,64,4096,0.00333,10076.406006006006
OpenMP,64,8192,0.01264,10618.491139240505
OpenMP,64,16384,0.049595,10825.101562657526
OpenMP,64,1024,0.008016,261.6207584830339
OpenMP,64,1024,0.000615,3410.0032520325203
OpenMP,64,2048,0.001356,6186.289085545723
OpenMP,64,4096,0.002877,11662.993395898506
OpenMP,64,8192,0.012423,10803.970699508976
OpenMP,64,16384,0.050037,10729.478425964786
OpenMP,64,1024,0.008281,253.2486414684217
OpenMP,64,1024,0.000346,6061.132947976878
OpenMP,64,2048,0.000924,9078.580086580087
OpenMP,64,4096,0.003678,9123.010331702013
OpenMP,64,8192,0.012648,10611.774826059456
OpenMP,64,16384,0.050152,10704.87541872707
